Rk,Player,Nation,Pos,Squad,Age,Born,ninety,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,es ESP,GK,West Ham,30,1987,19,29,1,1,8,1,27.3,0.28,-0.7,-0.04,159,470,33.8,387,47,78,54.1,186,90.3,61.9,197,12,6.1,14,0.74,13.9,Matches
2,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,61,2,2,8,1,57.5,0.33,-2.5,-0.07,233,668,34.9,823,227,48.8,41.5,329,80.9,58.5,389,34,8.7,8,0.21,13.2,Matches
4,Jack Butland,eng ENG,GK,Stoke City,24,1993,35,61,5,0,11,2,59.4,0.28,+0.4,+0.01,404,1005,40.2,931,94,74.5,54.3,338,92,67.8,375,32,8.5,24,0.69,14,Matches
6,Petr Čech,cz CZE,GK,Arsenal,35,1982,33.8,48,5,0,8,0,49.7,0.35,+1.7,+0.05,179,464,38.6,815,217,39.9,38.2,223,62.3,51.6,293,31,10.6,26,0.77,15,Matches
7,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,34,2,0,2,2,28.7,0.27,-3.3,-0.09,173,455,38,948,204,34.2,36.5,246,53.3,48.3,282,22,7.8,16,0.46,13.3,Matches
9,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,11,0,0,0,0,13.1,0.33,+2.1,+0.17,64,208,30.8,250,34,52.4,43.5,92,83.7,61.2,109,11,10.1,13,1.08,16.4,Matches
10,Ederson,br BRA,GK,Manchester City,23,1993,35.5,26,0,1,1,2,22.4,0.29,-1.6,-0.05,153,282,54.3,941,156,20.4,28.8,160,56.3,49.8,161,18,11.2,48,1.35,18,Matches
11,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,21,1,0,3,1,20.4,0.3,+0.4,+0.02,167,386,43.3,378,49,67.7,50,159,81.8,59.7,188,12,6.4,7,0.44,12.2,Matches
12,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,56,3,1,6,2,55.8,0.29,+1.8,+0.05,329,837,39.3,913,152,56.8,46.5,359,88.6,64.5,398,40,10.1,12,0.32,13,Matches
13,Fraser Forster,eng ENG,GK,Southampton,29,1988,20,30,0,2,4,0,26.9,0.28,-3.1,-0.15,105,355,29.6,364,64,62.1,49.2,147,87.8,64.2,163,9,5.5,7,0.35,12.4,Matches
14,Ben Foster,eng ENG,GK,West Brom,34,1983,37,55,1,3,9,1,48.8,0.32,-5.2,-0.14,348,925,37.6,798,74,75.6,54.3,337,95.5,70.5,436,29,6.7,19,0.51,14,Matches
16,David de Gea,es ESP,GK,Manchester Utd,26,1990,37,28,1,1,5,2,34.5,0.24,+8.5,+0.23,257,660,38.9,794,142,54.5,44.2,292,77.7,59.1,301,19,6.3,13,0.35,13.3,Matches
