Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
2,Alisson,br BRA,GK,Liverpool,26,1992,28.3,23,1,0,1,1,22.6,0.28,+0.6,+0.02,138,255,54.1,755,132,24.9,31.7,170,39.4,38.8,197,16,8.1,37,1.31,17.5,Matches
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,47,2,2,8,2,35.5,0.35,-9.5,-0.29,142,333,42.6,887,145,28.2,31.8,199,41.7,39.1,238,18,7.6,21,0.64,15.9,Matches
6,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,58,2,2,11,2,66,0.34,+10.0,+0.26,295,778,37.9,756,121,63.6,48.4,337,88.1,64.4,384,20,5.2,14,0.37,12.3,Matches
7,Ederson,br BRA,GK,Manchester City,25,1993,34.1,28,3,1,4,1,29.5,0.3,+2.5,+0.07,127,248,51.2,924,161,21.9,29.7,139,33.1,35,172,12,7,38,1.11,17.6,Matches
8,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,23.5,34,3,1,2,2,30.3,0.28,-1.7,-0.07,220,506,43.5,478,90,68.8,49.8,194,91.2,63.9,239,10,4.2,5,0.21,11.5,Matches
10,Ben Foster,eng ENG,GK,Watford,36,1983,38,64,8,3,7,3,58.3,0.31,-2.7,-0.07,322,975,33,909,121,77.4,54.3,292,92.8,67.6,367,37,10.1,44,1.16,15.6,Matches
11,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,26,3,1,2,1,25.4,0.29,+0.4,+0.02,81,273,29.7,376,58,45.7,38.9,140,72.1,58,168,9,5.4,12,0.67,14.2,Matches
12,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,36,3,1,8,1,37.1,0.28,+2.1,+0.05,120,311,38.6,669,148,33.8,34.3,265,32.1,33.9,285,15,5.3,11,0.29,13.3,Matches
13,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,42,0,0,5,2,46.8,0.33,+6.8,+0.19,225,674,33.4,780,163,57.4,44.3,273,82.8,61.9,331,30,9.1,16,0.46,13,Matches
15,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,35,3,1,7,1,32.6,0.31,-1.4,-0.07,129,384,33.6,418,95,57.7,45.9,196,73,56.5,225,17,7.6,8,0.4,11.7,Matches
16,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,33,1,0,2,0,38.2,0.3,+5.2,+0.14,252,853,29.5,777,99,77.7,58.7,258,96.5,75.7,291,23,7.9,17,0.47,13.8,Matches
18,Tim Krul,nl NED,GK,Norwich City,31,1988,36,68,3,1,13,3,65,0.32,0,0,261,733,35.6,1217,178,45.1,39.8,333,55.3,45.1,383,28,7.3,17,0.47,14,Matches
19,Bernd Leno,de GER,GK,Arsenal,27,1992,29.4,39,6,0,6,0,45.1,0.27,+6.1,+0.21,90,320,28.1,739,174,28.1,31.9,251,44.6,40,273,18,6.6,18,0.61,13.5,Matches
20,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,20.1,21,2,0,2,1,27.3,0.27,+7.3,+0.36,133,300,44.3,419,82,49.9,40.7,149,61.1,44.1,189,11,5.8,4,0.2,11.4,Matches
23,Alex McCarth,eng ENG,GK,Southampton,29,1989,28,35,1,0,4,1,40.5,0.36,+6.5,+0.23,198,556,35.6,638,74,63.9,48,177,83.6,61.4,258,20,7.8,14,0.5,14.8,Matches
27,Rui Patrício,pt POR,GK,Wolves,31,1988,38,40,1,1,7,1,40.2,0.32,+1.2,+0.03,282,583,48.4,580,124,59.7,44.6,282,84,55.6,349,15,4.3,8,0.21,12.4,Matches
28,Jordan Pickford,eng ENG,GK,Everton,25,1994,38,56,3,3,6,3,48.7,0.32,-4.3,-0.11,313,784,39.9,1100,179,55.6,45.8,273,63,53.4,315,25,7.9,23,0.61,14.6,Matches
29,Nick Pope,eng ENG,GK,Burnley,27,1992,38,50,4,0,8,1,47.2,0.27,-1.8,-0.05,285,916,31.1,875,168,73,54.4,305,90.8,69.9,373,53,14.2,35,0.92,16.5,Matches
30,Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,62,5,4,5,0,61.7,0.32,-0.3,-0.01,199,655,30.4,835,184,53.7,44.8,289,71.6,58.9,321,20,6.2,17,0.46,14.2,Matches
32,Pepe Reina,es ESP,GK,Aston Villa,36,1982,12,20,2,0,3,0,18.6,0.33,-1.4,-0.12,113,229,49.3,302,47,54.3,42.4,93,69.9,49.3,110,7,6.4,8,0.67,15.3,Matches
34,Mathew Ryan,au AUS,GK,Brighton,27,1992,38,54,2,0,8,3,54.5,0.32,+3.5,+0.09,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,314,24,7.6,19,0.5,13.9,Matches
35,Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38,41,8,0,7,2,42.2,0.28,+3.2,+0.08,239,488,49,936,151,39.9,37.4,242,47.5,40.8,293,10,3.4,27,0.71,15.7,Matches
