Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Robin van Persie,nl NED,FW,28,38,35,3123,34.7,26,9,23,3,4,6,0,0.75,0.26,1.01,0.66,0.92,Matches
Patrice Evra,fr FRA,DF,31,34,34,3060,34,4,5,4,0,0,3,0,0.12,0.15,0.26,0.12,0.26,Matches
Michael Carrick,eng ENG,MF,31,36,34,3044,33.8,1,4,1,0,0,3,0,0.03,0.12,0.15,0.03,0.15,Matches
David de Gea,es ESP,GK,21,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rafael,br BRA,DFMF,22,28,27,2313,25.7,3,3,3,0,0,6,1,0.12,0.12,0.23,0.12,0.23,Matches
Rio Ferdinand,eng ENG,DF,33,28,26,2321,25.8,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
Antonio Valencia,ec ECU,DFMF,26,30,24,2207,24.5,1,5,1,0,0,6,0,0.04,0.2,0.24,0.04,0.24,Matches
Wayne Rooney,eng ENG,FWMF,26,27,22,2014,22.4,12,10,11,1,2,7,0,0.54,0.45,0.98,0.49,0.94,Matches
Jonny Evans,nir NIR,DF,24,23,21,1902,21.1,3,1,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,Matches
Nemanja Vidić,rs SRB,DF,30,19,18,1617,18,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches
Tom Cleverley,eng ENG,MF,22,22,18,1445,16.1,2,2,2,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
Ashley Young,eng ENG,DFFW,27,19,17,1368,15.2,0,3,0,0,0,1,0,0,0.2,0.2,0,0.2,Matches
Shinji Kagawa,jp JPN,FWMF,23,20,17,1314,14.6,6,3,6,0,0,1,0,0.41,0.21,0.62,0.41,0.62,Matches
Danny Welbeck,eng ENG,FWMF,21,27,13,1301,14.5,1,4,1,0,0,1,0,0.07,0.28,0.35,0.07,0.35,Matches
Phil Jones,eng ENG,DFMF,20,17,13,1209,13.4,0,1,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
Ryan Giggs,wls WAL,FWMF,38,22,12,1168,13,2,3,2,0,0,0,0,0.15,0.23,0.39,0.15,0.39,Matches
Chris Smalling,eng ENG,DF,22,15,10,1020,11.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Anders Lindegaard,dk DEN,GK,28,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Javier Hernández,mx MEX,FW,24,22,9,952,10.6,10,3,10,0,1,1,0,0.95,0.28,1.23,0.95,1.23,Matches
Anderson,br BRA,MF,24,17,9,824,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
Paul Scholes,eng ENG,MF,37,15,8,749,8.3,1,1,1,0,0,6,0,0.12,0.12,0.24,0.12,0.24,Matches
Nani,pt POR,FWMF,25,11,7,630,7,1,2,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches
Alexander Büttner,nl NED,DF,23,5,4,383,4.3,2,1,2,0,0,1,0,0.47,0.23,0.7,0.47,0.7,Matches
Darren Fletcher,sct SCO,MF,28,3,2,181,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
Nick Powell,eng ENG,FWMF,18,2,0,32,0.4,1,0,1,0,0,0,0,2.81,0,2.81,2.81,2.81,Matches
