Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-13,16:00 (20:30),Matchweek 1,Sun,Home,W,4,0,West Ham,2.1,0.6,55,74928,Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,
2017-08-19,12:30 (17:00),Matchweek 2,Sat,Away,W,4,0,Swansea City,3.3,0.3,58,20862,Antonio Valencia,4-2-3-1,Jonathan Moss,Match Report,
2017-08-26,17:30 (22:00),Matchweek 3,Sat,Home,W,2,0,Leicester City,2.6,0.6,69,75021,Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,
2017-09-09,17:30 (22:00),Matchweek 4,Sat,Away,D,2,2,Stoke City,2.4,1.1,63,29320,Antonio Valencia,4-3-2003,Niel Swarbrick,Match Report,
2017-09-17,16:00 (20:30),Matchweek 5,Sun,Home,W,4,0,Everton,3.5,0.8,49,75042,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2017-09-23,15:00 (19:30),Matchweek 6,Sat,Away,W,1,0,Southampton,1.3,1.3,39,31930,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2017-09-30,15:00 (19:30),Matchweek 7,Sat,Home,W,4,0,Crystal Palace,2.7,0.3,59,75118,David de Gea,4-2-3-1,Mike Dean,Match Report,
2017-10-14,12:30 (17:00),Matchweek 8,Sat,Away,D,0,0,Liverpool,0.3,1.6,38,52912,Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,
2017-10-21,15:00 (19:30),Matchweek 9,Sat,Away,L,1,2,Huddersfield,1,1.2,77,24426,Antonio Valencia,4-2-3-1,Lee Mason,Match Report,
2017-10-28,12:30 (17:00),Matchweek 10,Sat,Home,W,1,0,Tottenham,0.8,1,45,75034,Antonio Valencia,3-4-1-2,Jonathan Moss,Match Report,
2017-11-05,16:30 (22:00),Matchweek 11,Sun,Away,L,0,1,Chelsea,0.8,1.4,46,41615,Antonio Valencia,3-4-1-2,Anthony Taylor,Match Report,
2017-11-18,17:30 (23:00),Matchweek 12,Sat,Home,W,4,1,Newcastle Utd,3.2,0.9,64,75035,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2017-11-25,15:00 (20:30),Matchweek 13,Sat,Home,W,1,0,Brighton,1.1,0.5,58,75018,Antonio Valencia,4-2-3-1,Niel Swarbrick,Match Report,
