Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-09-19,17:30 (22:00),Premier League,Matchweek 2,Sat,Home,L,1,3,Crystal Palace,1.1,1.6,75,,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
2020-09-26,12:30 (17:00),Premier League,Matchweek 3,Sat,Away,W,3,2,Brighton,1.1,2.4,46,,Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
2020-10-04,16:30 (21:00),Premier League,Matchweek 4,Sun,Home,L,1,6,Tottenham,0.9,3.8,38,,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2020-10-17,20:00 (00:30),Premier League,Matchweek 5,Sat,Away,W,4,1,Newcastle Utd,2.7,0.5,63,,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
2020-10-24,17:30 (22:00),Premier League,Matchweek 6,Sat,Home,D,0,0,Chelsea,0.7,0.2,50,,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
2020-11-01,16:30 (22:00),Premier League,Matchweek 7,Sun,Home,L,0,1,Arsenal,0.3,1.1,53,,Harry Maguire,4-4-2◆,Mike Dean,Match Report,
2020-11-07,12:30 (18:00),Premier League,Matchweek 8,Sat,Away,W,3,1,Everton,1.6,0.6,45,,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
2020-11-21,20:00 (01:30),Premier League,Matchweek 9,Sat,Home,W,1,0,West Brom,2.5,0.6,62,,Harry Maguire,4-2-3-1,David Coote,Match Report,
2020-11-29,14:00 (19:30),Premier League,Matchweek 10,Sun,Away,W,3,2,Southampton,2.3,0.4,50,,Harry Maguire,4-4-2◆,Jonathan Moss,Match Report,
2020-12-05,17:30 (23:00),Premier League,Matchweek 11,Sat,Away,W,3,1,West Ham,1.9,2.2,60,2000,Harry Maguire,4-2-3-1,Andre Marriner,Match Report,
2020-12-12,17:30 (23:00),Premier League,Matchweek 12,Sat,Home,D,0,0,Manchester City,1,1.2,46,,Harry Maguire,4-2-3-1◆,Chris Kavanagh,Match Report,
2020-12-17,20:00 (01:30),Premier League,Matchweek 13,Thu,Away,W,3,2,Sheffield Utd,2,1.6,59,,Harry Maguire,4-2-3-1,Michael Oliver,Match Report,
2020-12-20,16:30 (22:00),Premier League,Matchweek 14,Sun,Home,W,6,2,Leeds United,4,1.7,41,,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2020-12-26,12:30 (18:00),Premier League,Matchweek 15,Sat,Away,D,2,2,Leicester City,2.2,1.2,46,,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
