Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,27,1990,35.5,1596,1973,80.9,26721,11614,813,925,87.9,610,737,82.8,146,246,59.3,2,3.5,-1.5,31,114,63,10,216,Matches
2,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,30,1988,27.3,653,774,84.4,9134,1599,391,446,87.7,207,240,86.3,27,39,69.2,8,5.3,+2.7,33,37,41,0,63,Matches
3,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,23,1995,37.9,1464,1689,86.7,30277,10765,452,507,89.2,780,851,91.7,222,301,73.8,0,0.7,-0.7,4,86,5,2,68,Matches
4,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,28,1989,18.1,458,771,59.4,8844,3613,229,290,79,139,221,62.9,78,199,39.2,2,2.8,-0.8,29,47,30,15,80,Matches
5,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,29,1989,32.5,2077,2336,88.9,50476,15053,460,485,94.8,1097,1156,94.9,514,680,75.6,0,0.6,-0.6,7,189,26,1,123,Matches
6,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,19,1998,27.4,1655,2222,74.5,34936,13570,598,684,87.4,752,924,81.4,291,553,52.6,12,6.3,+5.7,48,131,59,27,191,Matches
7,Alisson\7a2e46a8,br BRA,GK,Liverpool,25,1992,38,1047,1268,82.6,30643,16858,114,116,98.3,570,578,98.6,362,572,63.3,0,0,0,0,10,1,0,0,Matches
8,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,22,1996,20.3,838,1050,79.8,13744,3258,415,486,85.4,336,396,84.8,63,103,61.2,3,2.7,+0.3,28,77,37,3,96,Matches
9,Miguel Almirón\862a1c15,py PAR,FWMF,Newcastle Utd,24,1994,8.4,188,260,72.3,3320,863,91,109,83.5,67,87,77,26,40,65,0,0.8,-0.8,12,16,14,9,19,Matches
10,Marcos Alonso\f4290206,es ESP,DF,Chelsea,27,1990,30.7,1843,2222,82.9,29006,9706,991,1083,91.5,711,848,83.8,107,214,50,4,3.5,+0.5,31,117,22,9,135,Matches
11,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,23,1994,7.1,367,438,83.8,6907,3059,156,165,94.5,161,190,84.7,48,77,62.3,0,0.1,-0.1,3,30,0,0,29,Matches
12,Luke Amos\77128f7e,eng ENG,MF,Tottenham,21,1997,0,1,2,50,14,7,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
13,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,25,1993,33.8,1327,1814,73.2,22567,7666,658,785,83.8,454,585,77.6,155,300,51.7,4,6.8,-2.8,62,102,89,14,188,Matches
14,Florin Andone\dc008610,ro ROU,FW,Brighton,25,1993,9.8,122,178,68.5,1605,203,67,93,72,39,55,70.9,4,9,44.4,0,0.1,-0.1,2,3,2,1,4,Matches
15,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,28,1990,23.4,507,768,66,8021,2237,295,366,80.6,153,244,62.7,42,103,40.8,4,3.5,+0.5,20,35,18,7,57,Matches
16,Stuart Armstrong\97333cf5,sct SCO,MFFW,Southampton,26,1992,15.9,500,655,76.3,8406,2140,249,308,80.8,188,217,86.6,50,76,65.8,2,1.5,+0.5,28,43,25,2,63,Matches
17,Marko Arnautović\00459419,at AUT,FW,West Ham,29,1989,22.1,494,652,75.8,7510,1324,295,365,80.8,142,185,76.8,35,50,70,4,3.8,+0.2,33,18,18,2,39,Matches
18,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,23,1994,36,996,1157,86.1,27888,15201,150,151,99.3,506,513,98.6,338,491,68.8,0,0,0,0,3,0,0,1,Matches
19,Harry Arter\2f4c5a52,ie IRL,MF,Cardiff City,28,1989,22.2,535,680,78.7,10039,2848,237,275,86.2,217,256,84.8,74,125,59.2,1,0.6,+0.4,11,56,20,3,67,Matches
20,Christian Atsu\8816329f,gh GHA,MFFW,Newcastle Utd,26,1992,16.6,330,445,74.2,5036,1122,193,220,87.7,93,140,66.4,31,53,58.5,0,1.2,-1.2,13,26,15,6,21,Matches
21,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,29,1989,30.3,520,733,70.9,7206,1884,323,414,78,146,213,68.5,26,48,54.2,5,4.2,+0.8,33,29,34,4,66,Matches
22,Serge Aurier\5c2b4f07,ci CIV,DFMF,Tottenham,25,1992,6.3,256,349,73.4,4480,1802,124,146,84.9,101,140,72.1,24,42,57.1,2,0.6,+1.4,5,10,11,7,27,Matches
23,Charlie Austin\8d228291,eng ENG,FW,Southampton,29,1989,10.9,127,209,60.8,2037,312,63,96,65.6,40,66,60.6,15,29,51.7,2,0.4,+1.6,8,3,3,0,7,Matches
24,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,26,1991,13.1,202,274,73.7,2783,507,119,137,86.9,57,80,71.3,12,23,52.2,2,0.9,+1.1,12,12,5,0,17,Matches
25,Floyd Ayité\fd5888a0,tg TOG,FWMF,Fulham,29,1988,5.3,160,207,77.3,2502,728,88,105,83.8,53,67,79.1,13,21,61.9,0,0.3,-0.3,8,12,8,1,20,Matches
26,César Azpilicueta\53cad200,es ESP,DF,Chelsea,28,1989,37.8,2475,2894,85.5,40394,14165,1239,1358,91.2,1030,1174,87.7,169,262,64.5,5,2.5,+2.5,26,161,46,20,155,Matches
27,Ryan Babel\6438d426,nl NED,FW,Fulham,31,1986,13.9,410,515,79.6,6440,1687,232,262,88.5,131,155,84.5,33,64,51.6,3,2.3,+0.7,23,27,10,3,29,Matches
28,Juninho Bacuna\aaf1bf05,cw CUW,MFDF,Huddersfield,20,1997,15.7,558,761,73.3,11236,3799,228,274,83.2,230,277,83,94,180,52.2,0,1.6,-1.6,18,85,12,1,81,Matches
29,Leandro Bacuna\9dc69d38,cw CUW,MFDF,Cardiff City,26,1991,6.2,114,168,67.9,2153,858,57,71,80.3,38,55,69.1,18,37,48.6,0,0,0,1,11,5,2,15,Matches
30,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,24,1994,7.1,263,300,87.7,5444,1571,82,87,94.3,137,146,93.8,42,61,68.9,0,0,0,0,8,0,0,8,Matches
31,Leighton Baines\b18095b6,eng ENG,DF,Everton,33,1984,4.2,207,259,79.9,3548,1510,99,112,88.4,90,106,84.9,16,34,47.1,0,0.1,-0.1,4,15,1,1,20,Matches
32,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,26,1991,22.4,659,817,80.7,13975,5556,195,222,87.8,332,381,87.1,122,196,62.2,0,0.1,-0.1,3,26,0,0,39,Matches
33,Leon Balogun\78e68b4d,ng NGA,DF,Brighton,30,1988,6.6,176,224,78.6,4043,870,33,39,84.6,93,108,86.1,43,65,66.2,0,0,0,0,2,0,0,5,Matches
34,Sol Bamba\5534217d,ci CIV,DF,Cardiff City,33,1985,27.5,394,552,71.4,8877,3282,101,144,70.1,204,246,82.9,86,148,58.1,1,0.4,+0.6,4,42,2,0,37,Matches
35,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,33,1985,18.6,524,764,68.6,10178,4847,217,250,86.8,225,302,74.5,76,196,38.8,0,0.8,-0.8,7,66,19,8,54,Matches
36,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,24,1993,13.8,881,967,91.1,15635,2659,421,447,94.2,335,368,91,108,119,90.8,5,2,+3.0,20,61,20,2,66,Matches
37,Ashley Barnes\2691c772,eng ENG,FW,Burnley,28,1989,26.5,342,548,62.4,4930,1042,205,278,73.7,94,163,57.7,22,58,37.9,2,3.5,-1.5,20,23,14,2,39,Matches
38,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,20,1997,11.2,256,342,74.9,3559,951,166,201,82.6,72,95,75.8,11,20,55,2,1.4,+0.6,16,15,13,4,30,Matches
39,Antonio Barreca\6a189491,it ITA,DF,Newcastle Utd,23,1995,0.1,1,3,33.3,16,16,0,0,,1,1,100,0,1,0,0,0,0,0,0,0,0,1,Matches
40,Michy Batshuayi\2973d8ff,be BEL,FW,Crystal Palace,24,1993,8.3,111,162,68.5,1614,301,68,87,78.2,27,41,65.9,11,19,57.9,0,0.1,-0.1,1,5,2,0,7,Matches
41,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,22,1996,23.9,591,830,71.2,12012,5531,198,240,82.5,294,379,77.6,89,192,46.4,1,0.4,+0.6,7,53,3,0,62,Matches
42,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,31,1987,24,445,657,67.7,15150,10076,44,44,100,217,220,98.6,184,393,46.8,0,0,0,0,3,0,0,0,Matches
43,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,23,1995,17,784,934,83.9,13249,4319,378,413,91.5,342,402,85.1,54,87,62.1,5,2,+3.0,8,46,25,6,85,Matches
44,Joe Bennett\dc936144,eng ENG,DF,Cardiff City,28,1990,29.3,637,930,68.5,11650,6069,287,340,84.4,263,371,70.9,77,178,43.3,1,1.1,-0.1,13,76,14,9,74,Matches
45,Ryan Bennett\0bad4516,eng ENG,DF,Wolves,28,1990,34,1087,1355,80.2,22784,7102,341,378,90.2,543,612,88.7,187,339,55.2,0,0.5,-0.5,5,97,1,0,74,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,27,1990,9,135,233,57.9,2052,402,79,127,62.2,35,69,50.7,12,18,66.7,1,1.2,-0.2,7,8,4,0,15,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MFFW,Burnley,27,1990,19.5,404,612,66,7487,2658,195,243,80.2,137,186,73.7,65,156,41.7,6,3.7,+2.3,37,23,23,15,43,Matches
48,Bernard\ab4b3e35,br BRA,FWMF,Everton,25,1992,23.5,627,858,73.1,10388,3195,320,378,84.7,241,319,75.5,55,112,49.1,3,3.3,-0.3,40,43,34,9,81,Matches
49,Bernardo\17370b95,br BRA,DF,Brighton,23,1995,19.5,741,1019,72.7,12902,5448,339,392,86.5,323,434,74.4,62,146,42.5,1,0.9,+0.1,10,53,11,3,84,Matches
50,Ryan Bertrand\01226327,eng ENG,DF,Southampton,28,1989,24,798,1092,73.1,13151,6106,440,504,87.3,279,378,73.8,65,163,39.9,0,1.9,-1.9,24,74,26,13,82,Matches
51,Marcus Bettinelli\0d85a4e8,eng ENG,GK,Fulham,26,1992,7,162,245,66.1,6092,4602,18,18,100,67,67,100,77,160,48.1,0,0,0,0,4,0,0,0,Matches
52,Philip Billing\d328a254,dk DEN,MF,Huddersfield,22,1996,24.3,916,1250,73.3,18659,5352,353,427,82.7,394,492,80.1,157,291,54,0,1.1,-1.1,17,77,24,10,88,Matches
53,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,21,1996,19.7,599,734,81.6,10395,2240,281,324,86.7,230,271,84.9,68,101,67.3,0,1.1,-1.1,14,55,7,1,48,Matches
54,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,27,1991,35.2,1400,1689,82.9,27387,10993,529,579,91.4,665,748,88.9,189,325,58.2,0,0.9,-0.9,10,122,5,0,120,Matches
55,Léo Bonatini\da23d58d,br BRA,FW,Wolves,24,1994,1.5,45,59,76.3,754,142,28,31,90.3,9,14,64.3,7,9,77.8,1,0.2,+0.8,2,3,2,1,3,Matches
56,Gaëtan Bong\cfd5e123,cm CMR,DF,Brighton,30,1988,20.1,602,887,67.9,10902,5553,252,287,87.8,273,389,70.2,69,177,39,0,0.6,-0.6,8,49,17,8,62,Matches
57,Artur Boruc\34ccf6fa,pl POL,GK,Bournemouth,38,1980,12,225,350,64.3,7768,5404,22,22,100,98,99,99,105,229,45.9,0,0,0,0,4,0,0,0,Matches
58,Robbie Brady\96bb8cc2,ie IRL,MFFW,Burnley,26,1992,8,160,285,56.1,3018,1117,75,97,77.3,56,90,62.2,24,80,30,1,1.2,-0.2,13,16,10,5,20,Matches
