Squad,Players used,90s,Gls,SoT,SoT/90,G/SoT,PK,PKatt
Arsenal,29,38,69,226,5.95,0.28,6,7
Aston Villa,27,38,31,127,3.34,0.24,1,1
Burnley,24,38,27,124,3.26,0.21,1,2
Chelsea,25,38,72,209,5.5,0.33,4,5
Crystal Palace,30,38,46,139,3.66,0.29,5,7
Everton,28,38,47,167,4.39,0.26,4,7
Hull City,29,38,32,131,3.45,0.24,1,1
Leicester City,28,38,45,137,3.61,0.31,3,3
Liverpool,25,38,48,193,5.08,0.22,5,6
Manchester City,24,38,82,228,6,0.33,7,8
Manchester Utd,33,38,60,177,4.66,0.32,3,5
Newcastle Utd,27,38,40,140,3.68,0.28,1,1
QPR,32,38,39,149,3.92,0.24,3,5
Southampton,29,38,49,167,4.39,0.28,2,3
Stoke City,25,38,47,136,3.58,0.32,3,3
Sunderland,25,38,30,129,3.39,0.2,4,4
Swansea City,27,38,43,146,3.84,0.28,2,2
Tottenham,27,38,56,171,4.5,0.31,3,5
West Brom,26,38,37,132,3.47,0.25,4,5
West Ham,28,38,43,153,4.03,0.27,1,2
