Squad,Players used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,30,38,73,590,227,38.5,15.53,5.97,0.12,0.3,17.4,30,4,5,68.4,64.6,0.11,+4.6,+4.4
Bournemouth,22,38,45,473,153,32.3,12.45,4.03,0.09,0.27,17.5,13,3,3,44.8,42.6,0.09,+0.2,-0.6
Brighton,24,38,33,381,113,29.7,10.03,2.97,0.07,0.25,17.9,3,5,7,37.2,31.8,0.09,-4.2,-3.8
Burnley,24,38,35,387,126,32.6,10.18,3.32,0.09,0.28,16,16,0,0,34.5,34.5,0.09,+0.5,+0.5
Chelsea,26,38,60,602,209,34.7,15.84,5.5,0.09,0.27,17.4,19,3,3,57.9,55.7,0.09,+2.1,+1.3
Crystal Palace,28,38,44,466,133,28.5,12.26,3.5,0.08,0.27,17,20,8,10,56.1,48.9,0.11,-12.1,-12.9
Everton,30,38,42,359,108,30.1,9.45,2.84,0.1,0.34,16.9,8,5,8,41.4,35.2,0.1,+0.6,+1.8
Huddersfield,25,38,25,362,105,29,9.53,2.76,0.06,0.22,18.1,13,2,2,31.7,30.2,0.09,-6.7,-7.2
Leicester City,27,38,53,418,137,32.8,11,3.61,0.11,0.35,17,12,5,6,48.1,43.6,0.11,+4.9,+4.4
Liverpool,27,38,82,642,228,35.5,16.89,6,0.12,0.35,17.1,22,2,3,72.7,70.4,0.11,+9.3,+9.6
Manchester City,25,38,103,661,255,38.6,17.39,6.71,0.15,0.38,17.4,31,6,8,86.4,80.4,0.12,+16.6,+16.6
Manchester Utd,27,38,67,513,176,34.3,13.5,4.63,0.13,0.38,17.6,22,1,3,60.7,58.2,0.12,+6.3,+7.8
Newcastle Utd,27,38,38,451,152,33.7,11.87,4,0.08,0.25,18.4,19,0,1,45.3,44.5,0.1,-7.3,-6.5
Southampton,26,38,36,448,138,30.8,11.79,3.63,0.07,0.24,17.7,11,3,3,42.2,39.9,0.09,-6.2,-6.9
Stoke City,30,38,34,390,122,31.3,10.26,3.21,0.09,0.28,17.5,11,0,3,37.5,35.3,0.09,-3.5,-1.3
Swansea City,26,38,27,337,94,27.9,8.87,2.47,0.08,0.28,17.5,15,1,1,30.5,29.8,0.09,-3.5,-3.8
Tottenham,25,38,70,626,212,33.9,16.47,5.58,0.11,0.32,17.4,27,2,3,67.3,65,0.11,+2.7,+3.0
Watford,29,38,42,437,128,29.3,11.5,3.37,0.09,0.3,17.1,9,3,6,47.4,42.6,0.1,-5.4,-3.6
West Brom,24,38,31,383,106,27.7,10.08,2.79,0.08,0.28,16.9,15,1,1,34.4,33.7,0.09,-3.4,-3.7
West Ham,27,38,48,369,128,34.7,9.71,3.37,0.12,0.36,17.4,17,2,4,39.8,36.8,0.1,+8.2,+9.2
