Squad,Players Used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,28,38,69,466,159,34.1,12.26,4.18,0.14,0.41,16.2,11,4,5,58,54.1,0.12,+11.0,+10.9
Bournemouth,28,38,55,432,153,35.4,11.37,4.03,0.11,0.31,16.5,14,7,9,54.4,47.6,0.11,+0.6,+0.4
Brighton,21,38,35,366,100,27.3,9.63,2.63,0.08,0.3,16.9,12,5,6,34.1,29.6,0.08,+0.9,+0.4
Burnley,23,38,43,356,114,32,9.37,3,0.12,0.36,15.1,14,2,2,40.7,39.2,0.11,+2.3,+1.8
Cardiff City,25,38,33,408,112,27.5,10.74,2.95,0.07,0.27,16.9,13,3,4,39.5,36.5,0.09,-6.5,-6.5
Chelsea,24,38,61,596,190,31.9,15.68,5,0.09,0.29,17.3,30,5,5,58.3,54.5,0.09,+2.7,+1.5
Crystal Palace,26,38,48,487,136,27.9,12.82,3.58,0.08,0.28,17,16,10,11,50.8,42.8,0.09,-2.8,-4.8
Everton,23,38,53,490,159,32.4,12.89,4.18,0.1,0.32,16.2,20,2,5,47.3,43.3,0.09,+5.7,+7.7
Fulham,28,38,33,441,136,30.8,11.61,3.58,0.07,0.23,18.3,10,2,3,39,36.7,0.08,-6,-5.7
Huddersfield,31,38,20,398,115,28.9,10.47,3.03,0.05,0.17,18.2,15,1,1,29.3,28.5,0.07,-9.3,-9.5
Leicester City,25,38,48,508,173,34.1,13.37,4.55,0.08,0.25,17.8,18,5,7,49.6,44.5,0.09,-1.6,-1.5
Liverpool,23,38,86,569,211,37.1,14.97,5.55,0.14,0.37,16.3,20,7,7,74.8,69.5,0.12,+11.2,+9.5
Manchester City,21,38,91,673,249,37,17.71,6.55,0.13,0.35,16.4,21,3,4,82,78.9,0.12,+9.0,+9.1
Manchester Utd,28,38,65,513,211,41.1,13.5,5.55,0.11,0.27,18.1,27,9,12,59.4,50.2,0.1,+5.6,+5.8
Newcastle Utd,24,38,41,434,135,31.1,11.42,3.55,0.09,0.3,18.1,17,1,3,39.6,37.3,0.09,+1.4,+2.7
Southampton,30,38,44,483,153,31.7,12.71,4.03,0.08,0.26,18.2,20,4,5,46.1,42.5,0.09,-2.1,-2.5
Tottenham,28,38,66,533,185,34.7,14.03,4.87,0.12,0.34,17.2,23,4,4,57.9,54.9,0.1,+8.1,+7.1
Watford,25,38,51,433,151,34.9,11.39,3.97,0.12,0.33,16.6,22,1,1,48.1,47.3,0.11,+2.9,+2.7
West Ham,26,38,51,439,147,33.5,11.55,3.87,0.1,0.31,16.5,17,5,5,48.2,44.5,0.1,+2.8,+1.5
Wolves,21,38,46,467,141,30.2,12.29,3.71,0.09,0.3,17.3,12,4,4,49,45.9,0.1,-3,-3.9
