Team,Man Utd,Man City,Chelsea,Arsenal
Week 1,16,5,1,10
Week 2,7,5,1,12
Week 3,5,4,1,8
Week 4,2,4,1,3
Week 5,2,7,1,5
Week 6,3,4,1,8
Week 7,2,3,1,7
Week 8,2,3,1,9
Week 9,2,3,1,6
Week 10,1,3,2,7
Week 11,1,2,3,8
Week 12,2,1,3,6
Week 13,1,2,4,6
Week 14,1,2,3,7
Week 15,1,2,3,10
Week 16,1,2,3,7
Week 17,1,2,3,5
Week 18,1,2,3,4
Week 19,1,2,3,7
Week 20,1,2,3,5
Week 21,1,2,4,6
Week 22,1,2,3,6
Week 23,1,2,3,6
Week 24,1,2,3,6
Week 25,1,2,3,6
Week 26,1,2,3,5
Week 27,1,2,4,5
Week 28,1,2,4,5
Week 29,1,2,4,5
Week 30,1,2,3,5
Week 31,1,2,4,5
Week 32,1,2,3,5
Week 33,1,2,4,3
Week 34,1,2,3,4
Week 35,1,2,4,3
Week 36,1,2,3,4
Week 37,1,2,3,4
Week 38,1,2,3,4
