Team,Man City,Liverpool,Chelsea,Arsenal,Man Utd
Week 1,2,7,1,16,3
Week 2,7,2,1,8,4
Week 3,3,1,2,4,7
Week 4,4,1,6,2,5
Week 5,3,5,4,1,8
Week 6,7,2,5,1,12
Week 7,5,2,3,1,9
Week 8,4,3,2,1,8
Week 9,7,3,2,1,8
Week 10,5,3,2,1,8
Week 11,8,2,4,1,5
Week 12,4,2,3,1,6
Week 13,3,4,2,1,8
Week 14,3,4,2,1,9
Week 15,4,2,3,1,9
Week 16,4,2,3,1,8
Week 17,3,1,4,2,8
Week 18,2,4,3,1,7
Week 19,2,5,3,1,6
Week 20,2,4,3,1,7
Week 21,2,4,3,1,7
Week 22,2,4,3,1,7
Week 23,1,4,3,2,7
Week 24,2,4,3,1,7
Week 25,3,4,1,2,7
Week 26,3,4,1,2,7
Week 27,3,4,1,2,6
Week 28,4,2,1,3,7
Week 29,4,2,1,3,6
Week 30,4,2,1,3,7
Week 31,3,2,1,4,7
Week 32,4,1,2,3,7
Week 33,3,2,1,4,7
Week 34,3,1,2,4,7
Week 35,3,1,2,4,7
Week 36,3,1,2,4,7
Week 37,1,2,3,4,7
Week 38,1,2,3,4,7
