Team,Chelsea,Man City,Arsenal,Man Utd
Week 1,1,2,3,14
Week 2,2,3,5,13
Week 3,1,4,7,14
Week 4,1,5,7,9
Week 5,1,6,4,12
Week 6,1,3,4,7
Week 7,1,2,8,4
Week 8,1,2,7,6
Week 9,1,3,5,8
Week 10,1,3,4,10
Week 11,1,3,6,7
Week 12,1,3,8,4
Week 13,1,2,6,4
Week 14,1,2,6,4
Week 15,1,2,6,3
Week 16,1,2,6,3
Week 17,1,2,6,3
Week 18,1,2,6,3
Week 19,1,2,5,3
Week 20,1,2,6,3
Week 21,1,2,5,4
Week 22,1,2,5,4
Week 23,1,2,5,3
Week 24,1,2,6,4
Week 25,1,2,5,3
Week 26,1,2,3,4
Week 27,1,2,3,4
Week 28,1,2,3,4
Week 29,1,2,3,4
Week 30,1,2,3,4
Week 31,1,4,2,3
Week 32,1,4,2,3
Week 33,1,4,2,3
Week 34,1,2,3,4
Week 35,1,2,3,4
Week 36,1,2,3,4
Week 37,1,2,3,4
Week 38,1,2,3,4
