Team,Leicester,Arsenal,Tottenham,Man City,Man Utd
Week 1,2,19,16,1,7
Week 2,2,11,14,1,4
Week 3,2,9,16,1,4
Week 4,3,6,16,1,5
Week 5,2,4,12,1,3
Week 6,4,5,9,1,2
Week 7,8,4,6,2,1
Week 8,5,2,8,1,3
Week 9,5,2,7,1,3
Week 10,5,2,6,1,4
Week 11,3,2,5,1,4
Week 12,3,2,5,1,4
Week 13,1,4,5,3,2
Week 14,2,4,5,1,3
Week 15,1,2,5,3,4
Week 16,1,2,5,3,4
Week 17,1,2,4,3,5
Week 18,1,2,4,3,6
Week 19,2,1,4,3,6
Week 20,2,1,4,3,5
Week 21,2,1,4,3,6
Week 22,2,1,4,3,5
Week 23,1,3,4,2,5
Week 24,1,4,3,2,5
Week 25,1,3,2,4,5
Week 26,1,3,2,4,5
Week 27,1,3,2,4,5
Week 28,1,3,2,4,5
Week 29,1,3,2,4,6
Week 30,1,3,2,4,6
Week 31,1,3,2,4,6
Week 32,1,3,2,4,5
Week 33,1,3,2,4,5
Week 34,1,3,2,4,5
Week 35,1,4,2,3,5
Week 36,1,3,2,4,5
Week 37,1,3,2,4,5
Week 38,1,2,3,4,5
