Team,Chelsea,Tottenham,Man City,Liverpool,Man Utd
Week 1,3,12,5,2,1
Week 2,4,7,1,11,2
Week 3,2,7,1,11,3
Week 4,2,5,1,6,4
Week 5,5,3,1,6,7
Week 6,8,2,1,4,6
Week 7,7,2,1,4,6
Week 8,5,3,1,4,7
Week 9,4,5,1,3,7
Week 10,4,5,1,3,8
Week 11,2,5,3,1,6
Week 12,1,5,3,2,6
Week 13,1,5,3,2,6
Week 14,1,5,4,3,6
Week 15,1,5,4,3,6
Week 16,1,5,4,2,6
Week 17,1,5,3,2,6
Week 18,1,5,3,2,6
Week 19,1,4,5,2,6
Week 20,1,3,4,2,6
Week 21,1,2,5,3,6
Week 22,1,3,5,4,6
Week 23,1,2,5,4,6
Week 24,1,2,3,5,6
Week 25,1,3,2,5,6
Week 26,1,2,3,5,6
Week 27,1,2,3,4,6
Week 28,1,2,3,4,6
Week 29,1,2,3,4,5
Week 30,1,2,4,3,5
Week 31,1,2,4,3,6
Week 32,1,2,4,3,5
Week 33,1,2,4,3,5
Week 34,1,2,4,3,5
Week 35,1,2,4,3,5
Week 36,1,2,4,3,6
Week 37,1,2,3,4,6
Week 38,1,2,3,4,6
