Team,Man City,Man Utd,Tottenham,Liverpool
Week 1,3,1,4,9
Week 2,5,1,10,6
Week 3,4,1,9,2
Week 4,2,1,5,8
Week 5,1,2,5,8
Week 6,1,2,4,5
Week 7,1,2,3,7
Week 8,1,2,3,8
Week 9,1,2,3,9
Week 10,1,2,3,6
Week 11,1,2,3,5
Week 12,1,2,4,5
Week 13,1,2,5,6
Week 14,1,2,7,5
Week 15,1,2,6,4
Week 16,1,2,6,4
Week 17,1,2,4,5
Week 18,1,2,7,4
Week 19,1,2,5,4
Week 20,1,2,5,4
Week 21,1,3,6,4
Week 22,1,2,5,4
Week 23,1,2,5,3
Week 24,1,2,5,4
Week 25,1,2,5,3
Week 26,1,2,5,3
Week 27,1,2,5,3
Week 28,1,2,4,3
Week 29,1,2,4,3
Week 30,1,2,3,4
Week 31,1,2,4,3
Week 32,1,2,4,3
Week 33,1,2,4,3
Week 34,1,2,4,3
Week 35,1,2,4,3
Week 36,1,2,4,3
Week 37,1,2,3,4
Week 38,1,2,3,4
