Team,Man City,Liverpool,Chelsea,Tottenham,Man Utd
Week 1,5,1,2,8,7
Week 2,1,2,3,5,9
Week 3,1,2,3,2,13
Week 4,4,1,2,5,10
Week 5,3,2,1,6,8
Week 6,2,1,3,5,7
Week 7,1,2,3,4,10
Week 8,1,3,2,5,8
Week 9,1,2,3,5,10
Week 10,1,2,3,5,8
Week 11,1,3,2,4,7
Week 12,1,2,3,4,8
Week 13,1,2,3,5,7
Week 14,1,2,4,3,8
Week 15,2,1,4,3,7
Week 16,2,1,4,3,6
Week 17,2,1,4,3,6
Week 18,3,1,4,2,6
Week 19,2,1,4,3,6
Week 20,2,1,4,3,6
Week 21,2,1,4,3,6
Week 22,2,1,4,3,6
Week 23,2,1,5,3,6
Week 24,2,1,4,3,5
Week 25,1,2,6,3,4
Week 26,1,2,6,3,5
Week 27,1,2,6,3,5
Week 28,1,2,6,3,4
Week 29,1,2,6,3,5
Week 30,1,2,6,3,5
Week 31,1,2,5,3,6
Week 32,1,2,3,4,6
Week 33,1,2,5,3,6
Week 34,1,2,4,3,6
Week 35,1,2,4,3,6
Week 36,1,2,3,4,6
Week 37,1,2,3,4,6
Week 38,1,2,3,4,6
