Team,Liverpool,Manchester City,Manchester Utd,Chelsea
Week 1,3,1,2,19
Week 2,1,3,4,15
Week 3,1,2,5,13
Week 4,1,2,8,11
Week 5,1,2,4,6
Week 6,1,2,8,11
Week 7,1,2,10,7
Week 8,1,2,12,5
Week 9,1,2,14,4
Week 10,1,2,7,4
Week 11,1,2,10,4
Week 12,1,4,7,3
Week 13,1,3,9,4
Week 14,1,3,9,4
Week 15,1,3,6,4
Week 16,1,3,5,4
Week 17,1,3,6,4
Week 18,1,3,8,4
Week 19,1,3,8,4
Week 20,1,3,5,4
Week 21,1,3,5,4
Week 22,1,2,5,4
Week 23,1,2,5,4
Week 24,1,2,5,4
Week 25,1,2,7,4
Week 26,1,2,7,4
Week 27,1,2,5,4
Week 28,1,2,5,4
Week 29,1,2,5,4
Week 30,1,2,5,4
Week 31,1,2,5,4
Week 32,1,2,5,4
Week 33,1,2,5,4
Week 34,1,2,5,3
Week 35,1,2,5,3
Week 36,1,2,5,3
Week 37,1,2,3,4
Week 38,1,2,3,4
