Team,Manchester City,Manchester Utd,Liverpool,Chelsea
Week 1,19,20,6,3
Week 2,7,15,4,11
Week 3,13,14,2,9
Week 4,14,16,5,7
Week 5,11,15,3,8
Week 6,13,15,2,10
Week 7,10,15,1,7
Week 8,10,14,3,5
Week 9,13,10,2,3
Week 10,11,9,2,3
Week 11,7,6,2,3
Week 12,9,8,2,5
Week 13,9,6,1,7
Week 14,8,3,1,5
Week 15,6,4,1,8
Week 16,8,2,1,6
Week 17,5,2,1,9
Week 18,3,1,2,9
Week 19,2,1,4,9
Week 20,1,2,4,8
Week 21,1,2,3,7
Week 22,1,2,4,6
Week 23,1,2,4,5
Week 24,1,2,6,4
Week 25,1,2,6,5
Week 26,1,2,7,4
Week 27,1,2,8,4
Week 28,1,2,6,4
Week 29,1,2,7,4
Week 30,1,2,7,5
Week 31,1,2,6,5
Week 32,1,2,7,4
Week 33,1,2,6,4
Week 34,1,2,7,4
Week 35,1,2,5,4
Week 36,1,2,5,4
Week 37,1,2,4,3
Week 38,1,2,3,4
