Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
David de Gea,es ESP,GK,22,37,37,3330,37,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Patrice Evra,fr FRA,DF,32,33,33,2880,32,1,3,1,0,0,2,0,0.03,0.09,0.12,0.03,0.12,Matches
Wayne Rooney,eng ENG,FWMF,27,29,27,2446,27.2,17,10,14,3,3,8,0,0.63,0.37,0.99,0.52,0.88,Matches
Michael Carrick,eng ENG,MF,32,29,26,2413,26.8,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Phil Jones,eng ENG,DFMF,21,26,26,2172,24.1,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matches
Nemanja Vidić,rs SRB,DF,31,25,23,2085,23.2,0,0,0,0,0,6,2,0,0,0,0,0,Matches
Chris Smalling,eng ENG,DF,23,25,21,1939,21.5,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Antonio Valencia,ec ECU,DFMF,27,29,20,1948,21.6,2,3,2,0,0,7,1,0.09,0.14,0.23,0.09,0.23,Matches
Robin van Persie,nl NED,FW,29,21,18,1579,17.5,12,3,10,2,2,2,0,0.68,0.17,0.85,0.57,0.74,Matches
Tom Cleverley,eng ENG,MF,23,22,18,1577,17.5,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
Rafael,br BRA,DFMF,23,19,18,1413,15.7,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
Jonny Evans,nir NIR,DF,25,17,17,1375,15.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adnan Januzaj,be BEL,FWMF,18,27,15,1644,18.3,4,3,4,0,0,7,0,0.22,0.16,0.38,0.22,0.38,Matches
Danny Welbeck,eng ENG,FWMF,22,25,15,1460,16.2,9,1,9,0,0,2,0,0.55,0.06,0.62,0.55,0.62,Matches
Juan Mata,es ESP,FWMF,25,15,14,1225,13.6,6,4,6,0,0,0,0,0.44,0.29,0.73,0.44,0.73,Matches
Shinji Kagawa,jp JPN,FWMF,24,18,14,1165,12.9,0,3,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
Ashley Young,eng ENG,DFFW,28,20,13,1029,11.4,2,1,2,0,0,4,0,0.17,0.09,0.26,0.17,0.26,Matches
Rio Ferdinand,eng ENG,DF,34,14,12,1129,12.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marouane Fellaini,be BEL,MF,25,16,12,1104,12.3,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Darren Fletcher,sct SCO,MF,29,12,9,780,8.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nani,pt POR,FWMF,26,11,7,558,6.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Javier Hernández,mx MEX,FW,25,24,6,854,9.5,4,3,4,0,0,2,0,0.42,0.32,0.74,0.42,0.74,Matches
Ryan Giggs,wls WAL,FWMF,39,12,6,505,5.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Alexander Büttner,nl NED,DF,24,8,5,500,5.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Anderson,br BRA,MF,25,4,2,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fábio,br BRA,DF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anders Lindegaard,dk DEN,GK,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tom Lawrence,wls WAL,FWMF,19,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
James Wilson,eng ENG,FW,17,1,1,63,0.7,2,0,2,0,0,0,0,2.86,0,2.86,2.86,2.86,Matches
Wilfried Zaha,ci CIV,FWMF,20,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
