Squad,Gls,Ast,G-PK,Gls(p90),Ast(p90),G+A(p90),G-PK(p90),G+A-PK(p90)
Arsenal,68,48,65,1.79,1.26,3.05,1.71,2.97
Aston Villa,38,25,36,1,0.66,1.66,0.95,1.61
Cardiff City,31,24,30,0.82,0.63,1.45,0.79,1.42
Chelsea,69,39,64,1.82,1.03,2.84,1.68,2.71
Crystal Palace,32,21,27,0.84,0.55,1.39,0.71,1.26
Everton,58,42,55,1.53,1.11,2.63,1.45,2.55
Fulham,38,28,36,1,0.74,1.74,0.95,1.68
Hull City,35,21,33,0.92,0.55,1.47,0.87,1.42
Liverpool,97,61,87,2.55,1.61,4.16,2.29,3.89
Manchester City,97,63,91,2.55,1.66,4.21,2.39,4.05
Manchester Utd,63,37,58,1.66,0.97,2.63,1.53,2.5
Newcastle Utd,41,25,39,1.08,0.66,1.74,1.03,1.68
Norwich City,28,18,27,0.74,0.47,1.21,0.71,1.18
Southampton,52,37,49,1.37,0.97,2.34,1.29,2.26
Stoke City,44,26,40,1.16,0.68,1.84,1.05,1.74
Sunderland,41,24,35,1.08,0.63,1.71,0.92,1.55
Swansea City,47,37,43,1.24,0.97,2.21,1.13,2.11
Tottenham,50,33,45,1.32,0.87,2.18,1.18,2.05
West Brom,41,27,39,1.08,0.71,1.79,1.03,1.74
West Ham,36,22,34,0.95,0.58,1.53,0.89,1.47
