Squad,Poss,Gls,Ast,G-PK,Gls(p90),Ast(p90),G+A(p90),G-PK(p90),G+A-PK(p90)
Arsenal,56.6,69,47,63,1.82,1.24,3.05,1.66,2.89
Aston Villa,49,31,23,30,0.82,0.61,1.42,0.79,1.39
Burnley,42.5,27,22,26,0.71,0.58,1.29,0.68,1.26
Chelsea,55.9,72,59,68,1.89,1.55,3.45,1.79,3.34
Crystal Palace,40.4,46,27,41,1.21,0.71,1.92,1.08,1.79
Everton,54.7,47,31,43,1.24,0.82,2.05,1.13,1.95
Hull City,44.2,32,22,31,0.84,0.58,1.42,0.82,1.39
Leicester City,43.5,45,29,42,1.18,0.76,1.95,1.11,1.87
Liverpool,55.8,48,30,43,1.26,0.79,2.05,1.13,1.92
Manchester City,59.8,82,61,75,2.16,1.61,3.76,1.97,3.58
Manchester Utd,61.2,60,41,57,1.58,1.08,2.66,1.5,2.58
Newcastle Utd,47.7,40,30,39,1.05,0.79,1.84,1.03,1.82
QPR,45.2,39,29,36,1.03,0.76,1.79,0.95,1.71
Southampton,53.1,49,32,47,1.29,0.84,2.13,1.24,2.08
Stoke City,50.4,47,30,44,1.24,0.79,2.03,1.16,1.95
Sunderland,45.2,30,20,26,0.79,0.53,1.32,0.68,1.21
Swansea City,50.1,43,34,41,1.13,0.89,2.03,1.08,1.97
Tottenham,57,56,40,53,1.47,1.05,2.53,1.39,2.45
West Brom,43.7,37,29,33,0.97,0.76,1.74,0.87,1.63
West Ham,45.6,43,34,42,1.13,0.89,2.03,1.11,2
