Squad,90s,TotalCmp,TotalPassAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtm,ShortCmp%,MediumCmp,MediumAtm,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,Pass2Shots,1/3,PPA,CrsPA,Prog
Arsenal,28,18313,22178,82.6,350914,109818,7357,8257,89.1,8113,9175,88.4,2530,3943,64.2,52,45.5,+6.5,361,1242,430,75,1543
Bournemouth,28,13478,17430,77.3,264047,97401,5366,6308,85.1,5968,7077,84.3,1942,3393,57.2,43,37.9,+5.1,318,983,348,77,1281
Brighton,21,11586,15704,73.8,246203,90785,4343,5178,83.9,4761,5856,81.3,2233,4021,55.5,24,22.7,+1.3,281,894,218,81,918
Burnley,23,10157,14606,69.5,216649,89112,4070,4922,82.7,3903,5002,78,2005,4135,48.5,32,25.7,+6.3,246,898,251,82,957
Cardiff City,25,7220,11620,62.1,154563,71373,2988,3863,77.3,2661,3735,71.2,1452,3545,41,20,22.4,-2.4,265,752,188,61,791
Chelsea,24,22850,26496,86.2,413409,125769,10432,11460,91,9321,10402,89.6,2722,3841,70.9,52,45.2,+6.8,468,1770,453,78,1821
Crystal Palace,26,12738,16638,76.6,237886,92963,5748,6625,86.8,4996,5968,83.7,1736,3354,51.8,33,31.1,+1.9,349,993,295,68,1220
Everton,23,13829,18084,76.5,277186,100510,5559,6521,85.2,5827,6980,83.5,2243,3933,57,34,30.3,+3.7,335,1168,296,89,1333
Fulham,28,15178,19215,79,289665,104302,6545,7387,88.6,6400,7489,85.5,1988,3702,53.7,24,28.2,-4.2,333,1050,245,57,1190
Huddersfield,31,13041,17508,74.5,261953,98346,5355,6333,84.6,5329,6550,81.4,2176,3980,54.7,13,20.9,-7.9,281,1021,239,94,1094
Leicester City,25,14787,19013,77.8,292829,100102,6039,7010,86.1,6181,7422,83.3,2330,3904,59.7,34,35.1,-1.1,365,1161,279,72,1278
Liverpool,23,21110,25260,83.6,416639,129434,8144,9132,89.2,9587,10759,89.1,3134,4695,66.8,55,49,+6.0,419,1719,531,88,1895
Manchester City,21,24629,28094,87.7,460699,126209,10191,11065,92.1,11220,12274,91.4,2943,4098,71.8,71,61.1,+9.9,499,2040,596,60,2024
Manchester Utd,28,16802,20642,81.4,319195,112004,7468,8337,89.6,6708,7793,86.1,2342,3808,61.5,40,38.3,+1.7,379,1284,357,75,1500
Newcastle Utd,24,10820,15030,72,225976,87798,4210,5016,83.9,4420,5506,80.3,1987,3889,51.1,33,26.7,+6.3,295,885,263,89,937
Southampton,30,11581,15886,72.9,224607,82746,5050,5936,85.1,4616,5764,80.1,1710,3553,48.1,27,27.5,-0.5,327,1071,264,81,1105
Tottenham,28,18761,22716,82.6,369116,114929,7315,8229,88.9,8407,9473,88.7,2772,4298,64.5,47,38,+9.0,384,1391,384,98,1477
Watford,25,12733,16903,75.3,248972,96550,5629,6547,86,4860,5946,81.7,1984,3766,52.7,39,34.1,+4.9,299,970,312,62,1175
West Ham,26,13899,17893,77.7,264929,94578,6149,7063,87.1,5338,6385,83.6,2052,3640,56.4,33,32.4,+0.6,318,991,282,58,1146
Wolves,21,14055,18032,77.9,290585,96376,5422,6243,86.8,5836,6921,84.3,2598,4267,60.9,35,33.7,+1.3,328,1113,268,77,1180
